赛区,场次号,红方学校,蓝方学校,局数,红胜局,蓝胜局,场总伤害,平均时长,胜方学校,红方类别,蓝方类别,序号,热力图,代表局号,代表局game_id,代表局总伤害,轨迹图
南部赛区,72,上海交通大学,广东工业大学,3,2,1,26366.0,420.0,上海交通大学,全国赛,复活赛,21,h2h_021_heatmap_上海交通大学_vs_广东工业大学.png,2,1778925424226,9184.0,h2h_021_paths_round2_上海交通大学_vs_广东工业大学.png
南部赛区,67,五邑大学,武汉工程大学,2,2,0,26187.0,420.0,五邑大学,全国赛,全国赛,22,h2h_022_heatmap_五邑大学_vs_武汉工程大学.png,2,1778912693151,13564.0,h2h_022_paths_round2_五邑大学_vs_武汉工程大学.png
南部赛区,19,厦门大学嘉庚学院,桂林电子科技大学,3,2,1,26095.0,420.0,厦门大学嘉庚学院,复活赛,复活赛,23,h2h_023_heatmap_厦门大学嘉庚学院_vs_桂林电子科技大学.png,1,1778677945404,10882.0,h2h_023_paths_round1_厦门大学嘉庚学院_vs_桂林电子科技大学.png
北部赛区,68,东北大学,山东理工大学,2,2,0,26031.0,420.0,东北大学,全国赛,复活赛,24,h2h_024_heatmap_东北大学_vs_山东理工大学.png,2,1780296578248,14368.0,h2h_024_paths_round2_东北大学_vs_山东理工大学.png
南部赛区,84,东莞理工学院,华南农业大学,2,0,2,26031.0,385.5,华南农业大学,全国赛,全国赛,25,h2h_025_heatmap_东莞理工学院_vs_华南农业大学.png,2,1778990147563,13912.0,h2h_025_paths_round2_东莞理工学院_vs_华南农业大学.png
南部赛区,28,深圳大学,南华大学,3,2,1,25726.0,420.0,深圳大学,全国赛,复活赛,26,h2h_026_heatmap_深圳大学_vs_南华大学.png,1,1778737453393,10763.0,h2h_026_paths_round1_深圳大学_vs_南华大学.png
北部赛区,74,复旦大学,西安电子科技大学,3,2,1,25659.0,420.0,复旦大学,全国赛,复活赛,27,h2h_027_heatmap_复旦大学_vs_西安电子科技大学.png,3,1780309411927,9767.0,h2h_027_paths_round3_复旦大学_vs_西安电子科技大学.png
东部赛区,51,太原科技大学,南京航空航天大学金城学院,3,1,2,25608.0,420.0,南京航空航天大学金城学院,复活赛,复活赛,28,h2h_028_heatmap_太原科技大学_vs_南京航空航天大学金城学院.png,1,1779520539290,10058.0,h2h_028_paths_round1_太原科技大学_vs_南京航空航天大学金城学院.png
北部赛区,50,长安大学,山东理工大学,3,1,2,25443.0,420.0,山东理工大学,全国赛,复活赛,29,h2h_029_heatmap_长安大学_vs_山东理工大学.png,1,1780210685636,9268.0,h2h_029_paths_round1_长安大学_vs_山东理工大学.png
东部赛区,26,山东科技大学,哈尔滨工业大学（深圳）,3,2,1,25420.0,420.0,山东科技大学,全国赛,全国赛,30,h2h_030_heatmap_山东科技大学_vs_哈尔滨工业大学_深圳.png,3,1779461100692,10438.0,h2h_030_paths_round3_山东科技大学_vs_哈尔滨工业大学_深圳.png
南部赛区,41,深圳大学,东莞理工学院,2,2,0,25277.0,420.0,深圳大学,全国赛,全国赛,31,h2h_031_heatmap_深圳大学_vs_东莞理工学院.png,1,1778805231802,12967.0,h2h_031_paths_round1_深圳大学_vs_东莞理工学院.png
南部赛区,86,深圳大学,南华大学,2,2,0,25195.0,420.0,深圳大学,全国赛,复活赛,32,h2h_032_heatmap_深圳大学_vs_南华大学.png,1,1778995779610,13542.0,h2h_032_paths_round1_深圳大学_vs_南华大学.png
北部赛区,49,西北工业大学,哈尔滨工业大学（威海）,3,2,1,25137.0,420.0,西北工业大学,全国赛,全国赛,33,h2h_033_heatmap_西北工业大学_vs_哈尔滨工业大学_威海.png,2,1780209002875,11617.0,h2h_033_paths_round2_西北工业大学_vs_哈尔滨工业大学_威海.png
东部赛区,76,华东理工大学,浙江大学,2,0,2,25137.0,420.0,浙江大学,全国赛,全国赛,34,h2h_034_heatmap_华东理工大学_vs_浙江大学.png,2,1779625969935,12737.0,h2h_034_paths_round2_华东理工大学_vs_浙江大学.png
南部赛区,80,厦门大学嘉庚学院,深圳大学,2,0,2,25065.0,420.0,深圳大学,复活赛,全国赛,35,h2h_035_heatmap_厦门大学嘉庚学院_vs_深圳大学.png,1,1778980152852,13643.0,h2h_035_paths_round1_厦门大学嘉庚学院_vs_深圳大学.png
南部赛区,42,广州城市理工学院,五邑大学,2,0,2,24988.0,420.0,五邑大学,全国赛,全国赛,36,h2h_036_heatmap_广州城市理工学院_vs_五邑大学.png,2,1778809035146,13376.0,h2h_036_paths_round2_广州城市理工学院_vs_五邑大学.png
东部赛区,57,哈尔滨工业大学（深圳）,南方科技大学,3,2,1,24623.0,420.0,哈尔滨工业大学（深圳）,全国赛,复活赛,37,h2h_037_heatmap_哈尔滨工业大学_深圳_vs_南方科技大学.png,1,1779538151452,9919.0,h2h_037_paths_round1_哈尔滨工业大学_深圳_vs_南方科技大学.png
东部赛区,84,浙江大学,中国石油大学（华东）,2,0,2,24549.0,420.0,中国石油大学（华东）,全国赛,全国赛,38,h2h_038_heatmap_浙江大学_vs_中国石油大学_华东.png,2,1779680995990,13325.0,h2h_038_paths_round2_浙江大学_vs_中国石油大学_华东.png
北部赛区,18,西安交通大学,哈尔滨工业大学（威海）,2,2,0,24537.0,420.0,西安交通大学,全国赛,全国赛,39,h2h_039_heatmap_西安交通大学_vs_哈尔滨工业大学_威海.png,1,1780057880180,12302.0,h2h_039_paths_round1_西安交通大学_vs_哈尔滨工业大学_威海.png
南部赛区,3,仲恺农业工程学院,华南理工大学,3,2,1,24463.0,420.0,仲恺农业工程学院,全国赛,全国赛,40,h2h_040_heatmap_仲恺农业工程学院_vs_华南理工大学.png,3,1778639477645,9154.0,h2h_040_paths_round3_仲恺农业工程学院_vs_华南理工大学.png
